question,answer_text,answer_start,is_impossible,id,processed_question,processed_answer_text
What is the main cause of HIV-1 infection in children?,Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. ,370.0,False,262.0,main cause hiv 1 infection children,mother child transmission mtct main cause hiv 1 infection children worldwide
What plays the crucial role in the Mother to Child Transmission of HIV-1 and what increases the risk,DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.,2003.0,False,276.0,plays crucial role mother child transmission hiv 1 increases risk,dc signr plays crucial role mtct hiv 1 impaired placental dc signr expression increases risk transmission
"How many children were infected by HIV-1 in 2008-2009, worldwide?","more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa. ",2291.0,False,278.0,many children infected hiv 1 2008 2009 worldwide,400 000 children infected worldwide mostly mtct 90 lived sub saharan africa
What is the role of C-C Motif Chemokine Ligand 3 Like 1 (CCL3L1) in mother to child transmission of HIV-1?,"High copy numbers of CCL3L1, a potent HIV-1 suppressive ligand for CCR5, are associated with higher chemokine production and lower risk of MTCT of HIV-1 among South African infants",28143.0,False,316.0,role c c motif chemokine ligand 3 like 1 ccl3l1 mother child transmission hiv 1,high copy numbers ccl3l1 potent hiv 1 suppressive ligand ccr5 associated higher chemokine production lower risk mtct hiv 1 among south african infants
What is DC-GENR and where is  it expressed?,"Dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)) can interact with a plethora of pathogens including HIV-1 and is expressed in placental capillary endothelial cells",3207.0,False,305.0,dc genr expressed,dendritic cell specific icam grabbing non integrin related dc signr also known cd209l liver lymph node specific icam grabbing non integrin l sign interact plethora pathogens including hiv 1 expressed placental capillary endothelial cells
How does the presence of DC-SIGNR affect the MTCT of HIV-1?,the presence of DC-SIGNR at the placental endothelial cell surface may protect infants from HIV-1 infection by capturing virus and promoting its degradation/presentation. ,28910.0,False,306.0,presence dc signr affect mtct hiv 1,presence dc signr placental endothelial cell surface may protect infants hiv 1 infection capturing virus promoting degradation presentation
Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?,"in placenta containing low levels of DC-SIGNR, HIV-1 would preferentially binds CCR5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal HIV-1-infected cells in foetal circulation leading to MTCT of HIV-1",29090.0,False,307.0,low levels dc signr enhance mother child transmission hiv 1,placenta containing low levels dc signr hiv 1 would preferentially binds ccr5 endothelial cells resulting loss placental barrier integrity enhanced passage maternal hiv 1 infected cells foetal circulation leading mtct hiv 1
"What is the percentage of Mother to Child Transmission of HIV-1, when there is no intervention?","Without specific interventions, the rate of HIV-1 mother-tochild transmission (MTCT) is approximately 15-45%",2137.0,False,277.0,percentage mother child transmission hiv 1 intervention,without specific interventions rate hiv 1 mother tochild transmission mtct approximately 15 45
Does C-C chemokine receptor type 5 (CCR5) affect the transmission of HIV-1?,Genetic variants in CCR5 have been shown to influence vertical transmission of HIV-1. CCR5 promoter variants resulting in higher expression of the receptor were associated with increased risk of MTCT of HIV-1 among sub-Saharan Africans,27719.0,False,312.0,c c chemokine receptor type 5 ccr5 affect transmission hiv 1,genetic variants ccr5 shown influence vertical transmission hiv 1 ccr5 promoter variants resulting higher expression receptor associated increased risk mtct hiv 1 among sub saharan africans
How does Mannanose Binding Lectin (MBL) affect elimination of HIV-1 pathogen?,"Mannose-binding lectin (MBL) is an innate immune receptor synthesised in the liver and secreted in the bloodstream in response to inflammation signal. MBL promotes pathogen elimination by opsonization and phagocytosis,",28335.0,False,318.0,mannanose binding lectin mbl affect elimination hiv 1 pathogen,mannose binding lectin mbl innate immune receptor synthesised liver secreted bloodstream response inflammation signal mbl promotes pathogen elimination opsonization phagocytosis
How can CCR5's effect in HIV-1 transmission be reduced?,The 32-pb deletion polymorphism in CCR5 has be shown to protect from vertical transmission of HIV-1,27966.0,False,321.0,ccr5 effect hiv 1 transmission reduced,32 pb deletion polymorphism ccr5 shown protect vertical transmission hiv 1
What is IFITM?,interferon-induced transmembrane,353.0,False,568.0,ifitm,interferon induced transmembrane
How many cysteine residues are contained in the first transmembrane domain of IFITM3?,three,701.0,False,569.0,many cysteine residues contained first transmembrane domain ifitm3,three
What inhibits S-palmitoylation?,2-bromopalmitic acid (2BP),1509.0,False,570.0,inhibits palmitoylation,2 bromopalmitic acid 2bp
What interaction is inhibited by the presence of 2-bromopalmitic acid (2BP)?,IFITM5 with FKBP11,1807.0,False,571.0,interaction inhibited presence 2 bromopalmitic acid 2bp,ifitm5 fkbp11
What is a function associated with IFITM5?,bone formation factor.,2195.0,False,572.0,function associated ifitm5,bone formation factor
What regulates the antiviral activity of IFITM3?,S-palmitoylation on the protein,3574.0,False,573.0,regulates antiviral activity ifitm3,palmitoylation protein
What is another name for IFITM5?,bonerestricted IFITM-like (BRIL) protein,6107.0,False,574.0,another name ifitm5,bonerestricted ifitm like bril protein
Why is the expression of IFITM5 not promoted by interferons?,the region upstream of the ifitm5 gene lacks the interferon regulatory elements,6335.0,False,575.0,expression ifitm5 promoted interferons,region upstream ifitm5 gene lacks interferon regulatory elements
What is the amino acid similarity between IFITM5 and the other IFITM proteins?,~ 65% similarity,6693.0,False,576.0,amino acid similarity ifitm5 ifitm proteins,65 similarity
